,Data,Open,High,Low,Close,Volume,Ajustado,Retornos,Retornos Ajustados
261,2002-01-24,13239,13309,13147,13162,0,13162,-77,-77
262,2002-01-28,13161,13215,12990,13002,0,13002,-159,-159
263,2002-01-29,13010,13182,12476,12501,0,12501,-509,-509
264,2002-01-30,12512,12627,12301,12532,0,12532,20,20
265,2002-01-31,12563,12812,12561,12721,0,12721,158,158
266,2002-02-01,12723,12783,12567,12659,0,12659,-64,-64
267,2002-02-04,12648,12655,12416,12513,0,12513,-135,-135
268,2002-02-05,12557,12778,12415,12748,0,12748,191,191
269,2002-02-06,12751,12883,12666,12751,0,12751,0,0
270,2002-02-07,12752,12774,12684,12684,0,12684,-68,-68
271,2002-02-08,12684,12693,12591,12598,0,12598,-86,-86
272,2002-02-13,12599,12961,12504,12961,0,12961,362,362
273,2002-02-14,12962,13245,12908,13245,0,13245,283,283
274,2002-02-15,13222,13300,13169,13300,0,13300,78,78
275,2002-02-18,13208,13238,13027,13122,0,13122,-86,-86
276,2002-02-19,13125,13245,12984,12992,0,12992,-133,-133
277,2002-02-20,13001,13330,12919,13303,0,13303,302,302
278,2002-02-21,13328,13677,13328,13530,0,13530,202,202
279,2002-02-22,13535,13641,13513,13563,0,13563,28,28
280,2002-02-25,13567,14005,13567,13978,0,13978,411,411
281,2002-02-26,13975,14053,13832,13964,0,13964,-11,-11
282,2002-02-27,13978,14251,13978,14212,0,14212,234,234
283,2002-02-28,14216,14221,14033,14033,0,14033,-183,-183
284,2002-03-01,14047,14355,13978,14343,0,14343,296,296
285,2002-03-04,14373,14474,14100,14471,0,14471,98,98
286,2002-03-05,14455,14482,14011,14011,0,14011,-444,-444
287,2002-03-06,14007,14007,13683,13839,0,13839,-168,-168
288,2002-03-07,13836,14011,13640,13726,0,13726,-110,-110
289,2002-03-08,13783,13962,13767,13962,0,13962,179,179
290,2002-03-11,13959,14032,13593,13696,0,13696,-263,-263
291,2002-03-12,13717,14213,13710,14181,0,14181,464,464
292,2002-03-13,14191,14352,14100,14244,0,14244,53,53
293,2002-03-14,14240,14337,14025,14117,0,14117,-123,-123
294,2002-03-15,14120,14370,14089,14365,0,14365,245,245
295,2002-03-18,14366,14495,14217,14245,0,14245,-121,-121
296,2002-03-19,14266,14330,14069,14118,0,14118,-148,-148
297,2002-03-20,14123,14158,13895,14090,0,14090,-33,-33
298,2002-03-21,14086,14086,13662,13717,0,13717,-369,-369
299,2002-03-22,13723,13726,13283,13312,0,13312,-411,-411
300,2002-03-25,13359,13430,13183,13278,0,13278,-81,-81
301,2002-03-26,13309,13570,13309,13570,0,13570,261,261
302,2002-03-27,13569,13579,13425,13425,0,13425,-144,-144
303,2002-03-28,13428,13498,13226,13255,0,13255,-173,-173
304,2002-04-01,13256,13499,13068,13467,0,13467,211,211
305,2002-04-02,13482,13535,13245,13245,0,13245,-237,-237
306,2002-04-03,13280,13345,13061,13085,0,13085,-195,-195
307,2002-04-04,13090,13370,13041,13360,0,13360,270,270
308,2002-04-05,13362,13445,13233,13276,0,13276,-86,-86
309,2002-04-08,13248,13248,13114,13160,0,13160,-88,-88
310,2002-04-09,13165,13243,13147,13195,0,13195,30,30
311,2002-04-10,13183,13445,13182,13416,0,13416,233,233
312,2002-04-11,13419,13559,13385,13411,0,13411,-8,-8
