Data,Open,High,Low,Close,Volume,Ajustado
4/1/2002,13256,13499,13068,13467,0,13467
4/2/2002,13482,13535,13245,13245,0,13245
4/3/2002,13280,13345,13061,13085,0,13085
4/4/2002,13090,13370,13041,13360,0,13360
4/5/2002,13362,13445,13233,13276,0,13276
4/8/2002,13248,13248,13114,13160,0,13160
4/9/2002,13165,13243,13147,13195,0,13195
4/10/2002,13183,13445,13182,13416,0,13416
4/11/2002,13419,13559,13385,13411,0,13411
4/12/2002,13418,13764,13418,13751,0,13751
4/15/2002,13772,13822,13438,13472,0,13472
4/16/2002,13476,13693,13476,13623,0,13623
4/17/2002,13633,13872,13633,13732,0,13732
4/18/2002,13729,13729,13446,13573,0,13573
4/19/2002,13568,13631,13448,13478,0,13478
4/22/2002,13484,13485,13056,13224,0,13224
4/23/2002,13224,13302,13076,13188,0,13188
4/24/2002,13182,13394,13176,13381,0,13381
4/25/2002,13384,13384,13113,13273,0,13273
4/26/2002,13273,13367,13037,13076,0,13076
4/29/2002,13076,13142,13032,13090,0,13090
4/30/2002,13096,13267,13065,13085,0,13085
5/2/2002,13088,13090,12510,12538,0,12538
5/3/2002,12557,12679,12431,12610,0,12610
5/6/2002,12594,12595,12272,12430,0,12430
5/7/2002,12433,12631,12291,12342,0,12342
5/8/2002,12353,12664,12353,12617,0,12617
5/9/2002,12602,12603,12077,12102,0,12102
5/10/2002,12106,12180,11944,12130,0,12130
5/13/2002,12147,12212,11943,12002,0,12002
5/14/2002,11999,12327,11999,12204,0,12204
5/15/2002,12207,12468,12114,12350,0,12350
5/16/2002,12396,12691,12396,12660,0,12660
5/17/2002,12665,12739,12563,12699,0,12699
5/20/2002,12700,12770,12606,12668,0,12668
5/21/2002,12674,12774,12627,12701,0,12701
5/22/2002,12697,12845,12352,12368,0,12368
5/23/2002,12380,12561,12244,12556,0,12556
5/24/2002,12544,12689,12445,12574,0,12574
5/27/2002,12578,12708,12528,12698,0,12698
5/28/2002,12703,12861,12703,12728,0,12728
5/29/2002,12728,13003,12720,12985,0,12985
5/31/2002,12992,13013,12861,12861,0,12861
6/3/2002,12859,12919,12641,12659,0,12659
6/4/2002,12637,12642,12493,12600,0,12600
6/5/2002,12580,12707,12574,12590,0,12590
6/6/2002,12591,12595,12113,12113,0,12113
6/7/2002,12051,12310,11955,12283,0,12283
6/10/2002,12306,12600,12304,12600,0,12600
6/11/2002,12609,12686,12170,12210,0,12210
6/12/2002,12221,12400,12058,12133,0,12133
6/13/2002,12133,12313,11962,11962,0,11962
6/14/2002,11985,11985,11601,11699,0,11699
6/17/2002,11705,11955,11705,11937,0,11937
6/18/2002,11942,12116,11809,11821,0,11821
6/19/2002,11822,11901,11485,11493,0,11493
6/20/2002,11508,11603,10894,10909,0,10909
6/21/2002,10917,11010,10298,10398,0,10398
6/24/2002,10438,10814,10247,10759,0,10759
6/25/2002,10773,10973,10597,10706,0,10706
6/26/2002,10676,10694,10430,10691,0,10691
6/27/2002,10690,11013,10690,11013,0,11013
6/28/2002,11018,11271,11018,11139,0,11139
7/1/2002,11138,11173,10853,10892,0,10892
7/2/2002,10891,10908,10711,10846,98006400,10846
7/3/2002,10854,10868,10520,10636,98006400,10636
7/4/2002,10661,10721,10594,10655,98006400,10655
7/5/2002,10663,10668,10425,10524,0,10524
7/8/2002,10524,10708,10506,10687,0,10687
7/10/2002,10690,10851,10539,10556,0,10556
7/11/2002,10545,10810,10467,10806,0,10806
7/12/2002,10811,10968,10213,10967,0,10967
7/15/2002,10966,10969,10474,10633,0,10633
7/16/2002,10646,10743,10522,10578,0,10578
7/17/2002,10589,10814,10589,10755,0,10755
7/18/2002,10755,10915,10710,10813,0,10813
7/19/2002,10813,10813,10545,10583,0,10583
7/22/2002,10568,10568,9879,9892,0,9892
7/23/2002,9900,10082,9603,9746,0,9746
7/24/2002,9739,9973,9423,9937,0,9937
7/25/2002,9947,9947,9486,9666,0,9666
7/26/2002,9672,9778,9155,9217,0,9217
7/29/2002,9251,9673,9240,9240,0,9240
7/30/2002,9247,9613,9188,9342,0,9342
7/31/2002,9346,9896,9344,9763,0,9763
8/1/2002,9782,9864,9537,9760,0,9760
8/2/2002,9768,9943,9738,9852,0,9852
8/5/2002,9848,9848,9452,9470,0,9470
8/6/2002,9472,9795,9471,9755,0,9755
8/7/2002,9766,10763,9649,9870,0,9870
8/8/2002,9911,10420,9911,10316,0,10316
8/9/2002,10315,10315,9971,9986,0,9986
8/12/2002,10008,10009,9687,9724,0,9724
8/13/2002,9724,9842,9444,9444,0,9444
8/14/2002,9461,9587,9017,9343,0,9343
8/15/2002,9373,9473,9161,9183,0,9183
8/16/2002,9213,9539,9213,9526,0,9526
8/19/2002,9512,9657,9404,9417,0,9417
8/20/2002,9455,9552,9258,9263,0,9263
8/21/2002,9270,9495,9270,9438,0,9438
8/22/2002,9441,9703,9412,9703,0,9703
8/23/2002,9710,9761,9594,9676,0,9676
8/26/2002,9690,10100,9689,10098,0,10098
8/27/2002,10118,10389,10118,10372,0,10372
8/28/2002,10383,10436,10231,10380,0,10380
8/29/2002,10351,10519,10175,10455,0,10455
8/30/2002,10465,10604,10382,10382,0,10382
9/2/2002,10383,10477,10312,10378,0,10378
9/3/2002,10365,10372,10065,10136,0,10136
9/4/2002,10167,10174,9921,9997,0,9997
9/5/2002,9993,9993,9709,9723,0,9723
9/6/2002,9739,9882,9643,9717,0,9717
9/9/2002,9725,9955,9716,9954,0,9954
9/10/2002,9962,10052,9841,9960,0,9960
9/11/2002,9967,10248,9967,10182,0,10182
9/12/2002,10182,10188,10032,10173,0,10173
9/13/2002,10156,10219,10086,10181,0,10181
9/16/2002,10171,10172,9822,9831,0,9831
9/17/2002,9855,9943,9613,9650,0,9650
9/18/2002,9626,9638,9399,9505,0,9505
9/19/2002,9512,9626,9353,9372,0,9372
9/20/2002,9375,9638,9375,9585,0,9585
9/23/2002,9575,9575,9137,9264,0,9264
9/24/2002,9245,9341,9069,9148,0,9148
9/25/2002,9207,9357,9207,9228,0,9228
9/26/2002,9251,9386,9170,9199,0,9199
9/27/2002,9200,9202,8703,8716,0,8716
9/30/2002,8718,8720,8352,8623,0,8623
10/1/2002,8642,9021,8637,8998,0,8998
10/2/2002,9011,9132,8811,8820,0,8820
10/3/2002,8852,9170,8807,9140,0,9140
10/4/2002,9151,9319,9092,9260,0,9260
10/7/2002,9268,9288,8841,8863,0,8863
10/8/2002,8870,8909,8691,8847,0,8847
10/9/2002,8838,9291,8604,8715,0,8715
10/10/2002,8708,8932,8707,8866,0,8866
10/11/2002,8864,9042,8832,8855,0,8855
10/14/2002,8853,8853,8430,8451,0,8451
10/15/2002,8452,8622,8446,8507,0,8507
10/16/2002,8510,8513,8225,8371,0,8371
10/17/2002,8397,8920,8397,8902,0,8902
10/18/2002,8902,9081,8873,9022,0,9022
10/21/2002,9022,9161,8979,9128,0,9128
10/22/2002,9099,9331,8982,9331,0,9331
10/23/2002,9342,9840,9263,9840,0,9840
10/24/2002,9832,10107,9763,9799,0,9799
10/25/2002,9807,10598,9698,10015,0,10015
10/28/2002,10022,10092,9573,9574,0,9574
10/29/2002,9570,9656,9439,9601,0,9601
10/30/2002,9602,10097,9602,10069,0,10069
10/31/2002,10099,10241,9733,10168,0,10168
11/1/2002,10172,10266,10043,10140,0,10140
11/4/2002,10147,10378,9913,9913,0,9913
11/5/2002,9904,10034,9825,9861,0,9861
11/6/2002,9857,9861,9583,9703,0,9703
11/7/2002,9734,9893,9618,9799,0,9799
11/8/2002,9859,10030,9857,9860,0,9860
11/11/2002,9873,9977,9868,9886,0,9886
11/12/2002,9864,9871,9647,9721,0,9721
11/13/2002,9721,9813,9569,9764,0,9764
11/14/2002,9762,9904,9738,9884,0,9884
11/18/2002,9910,10100,9910,9971,0,9971
11/19/2002,9971,10052,9839,9971,0,9971
11/20/2002,9983,10112,9901,10088,0,10088
11/21/2002,10105,10318,10086,10289,0,10289
11/22/2002,10288,10433,10124,10404,0,10404
11/25/2002,10407,10447,10234,10246,0,10246
11/26/2002,10243,10283,10084,10132,0,10132
11/27/2002,10142,10286,10123,10226,0,10226
11/28/2002,10222,10292,10187,10239,0,10239
11/29/2002,10250,10519,10250,10509,0,10509
12/2/2002,10517,10735,10517,10674,0,10674
12/3/2002,10672,10674,10576,10663,0,10663
12/4/2002,10664,10681,10505,10640,0,10640
12/5/2002,10645,10651,10346,10413,0,10413
